"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          79,      -6.415483241,      -6.209961486,      -6.183098492,      -5.781080961,      -10.53224354,     -0.7877056485,      -1.126531166,      -3.913943807,                 0,                 0,                 0,      -1.196637747,     -0.3200577176,       -4.06024527,                 0,       3.474332469,    0.008509893406
          0,           0,          80,      -6.418667427,      -6.260819959,      -6.234415624,      -5.787576777,      -10.55468901,     -0.8063762256,     -0.5338688092,      -4.068598163,                 0,                 0,                 0,      -1.172881039,      0.2915687935,      -4.093103291,                 0,        7.62096997,    0.008509893406
          0,           0,          81,      -6.430935803,      -6.324001763,       -6.29958763,      -5.803386911,      -10.57464709,     -0.7155436408,      0.1032111131,      -3.898409728,                 0,                 0,                 0,      -1.070838864,      0.8816724309,      -3.798803057,                 0,      -37.77122068,    0.008509893406
          0,           0,          82,       -6.43196467,      -6.369320915,       -6.34702754,      -5.807865845,       -10.5956439,     -0.7659753778,      0.6130884154,      -3.486844568,                 0,                 0,                 0,     -0.9264183857,       1.298820084,      -3.293482783,                 0,      -5.687343752,    0.008509893406
          0,           0,          83,      -6.451718639,       -6.39753796,      -6.375016924,      -5.829483733,      -10.61387617,     -0.7263143683,       1.074034688,      -2.773325006,                 0,                 0,                 0,     -0.7175352301,       1.607569326,      -2.502119694,                 0,        -2.5821559,    0.008509893406
          0,           0,          84,      -6.461158282,      -6.387413312,      -6.361480769,      -5.840495663,      -10.63273532,     -0.8215749809,       1.377448407,      -1.976768577,                 0,                 0,                 0,     -0.5044365365,       1.745350102,      -1.660942848,                 0,      -1.435094459,    0.008509893406
          0,           0,          85,      -6.488988225,      -6.377419153,      -6.348098078,      -5.867299011,       -10.6492061,     -0.8348770068,       1.577080878,     -0.9752258809,                 0,                 0,                 0,     -0.2528460985,       1.740408198,     -0.6397100274,                 0,     -0.6183740445,    0.008509893406
          0,           0,          86,      -6.500703661,      -6.356102926,      -6.324477296,      -5.877518392,      -10.66664517,     -0.9663206679,       1.641396539,    -0.04757951302,                 0,                 0,                 0,    -0.02981152915,       1.617685347,      0.2820293014,                 0,    -0.02898721416,    0.008509893406
          0,           0,          87,      -6.525781214,      -6.358502726,      -6.326776863,      -5.898894303,      -10.68238544,     -0.9924407156,       1.590459909,      0.9514261032,                 0,                 0,                 0,      0.2014930824,        1.36775626,       1.250606718,                 0,      0.5982081648,    0.008509893406
          0,           0,          88,      -6.532795858,      -6.362001439,      -6.332701522,      -5.902306652,      -10.69943371,      -1.102509567,       1.435830323,       1.845786432,                 0,                 0,                 0,       0.401551652,       1.037186357,       2.095896164,                 0,       1.285518493,    0.008509893406
